"","Country Code","Year","Count"
"479","ABW",1967,58055
"480","ABW",2013,103159
"481","ABW",1997,85451
"482","ABW",2003,97017
"483","ABW",1972,59840
"484","ABW",1985,63026
"485","ABW",2014,103774
"486","ABW",1984,62836
"487","ABW",1974,60528
"488","ABW",2007,101222
"489","ABW",2015,104341
"490","ABW",1975,60657
"491","ABW",1979,59980
"492","ABW",1993,72504
"493","ABW",1966,57715
"494","ABW",2011,102046
"495","ABW",1962,56225
"496","ABW",2008,101358
"497","ABW",1994,76700
"498","ABW",1980,60096
"499","ABW",2005,100031
"500","ABW",1987,61833
"501","ABW",1998,87277
"502","ABW",1986,62644
"503","ABW",1989,61032
"504","ABW",1992,68235
"505","ABW",2004,98737
"506","ABW",2012,102560
"507","ABW",1973,60243
"508","ABW",1969,58726
"509","ABW",1983,62201
"510","ABW",1964,57032
"511","ABW",1982,61345
"512","ABW",1960,54211
"513","ABW",1988,61079
"514","ABW",1971,59440
"515","ABW",2009,101455
"516","ABW",1963,56695
"517","ABW",1991,64622
"518","ABW",2002,94992
"519","ABW",1961,55438
"520","ABW",1965,57360
"521","ABW",2010,101669
"522","ABW",1990,62149
"523","AUS",1979,14514000
"524","AUS",1989,16814400
"525","AUS",1969,12263000
"526","AUS",1996,18311000
"527","AUS",2016,24190907
"528","AUS",2011,22340024
"529","AUS",2003,19895400
"530","AUS",1962,10742000
"531","AUS",1978,14358000
"532","AUS",2002,19651400
"533","AUS",1964,11167000
"534","AUS",1991,17284000
"535","AUS",1976,14033000
"536","AUS",2001,19413000
"537","AUS",2008,21249200
"538","AUS",2013,23128129
"539","AUS",1961,10483000
"540","AUS",1977,14192000
"541","AUS",1972,13177000
"542","AUS",2015,23815995
"543","AUS",2010,22031750
"544","AUS",2006,20697900
"545","AUS",1992,17495000
"546","AUS",2007,20827600
"547","AUS",1982,15178000
"548","AUS",1965,11388000
"549","AUS",1985,15758000
"550","AUS",1986,16018400
"551","AUS",1971,12937000
"552","AUS",1975,13893000
"553","AUS",1973,13380000
"554","AUS",1993,17667000
"555","AUS",1981,14927000
"556","AUS",1995,18072000
"557","AUS",1994,17855000
"558","AUS",1980,14692000
"559","AUS",1998,18711000
"560","AUS",1997,18517000
"561","AUS",2014,23475686
"562","AUS",2005,20394800
"563","AUS",1990,17065100
"564","AUS",2004,20127400
"565","AUS",1974,13723000
"566","AUS",1987,16263900
"567","AUS",2012,22733465
"568","AUS",1984,15544000
"569","AUS",1966,11651000
"570","AUS",1970,12507000
"571","AUS",2000,19153000
"572","AUS",1968,12009000
"573","AUS",1988,16532200
"574","AUS",1960,10276477
"575","AUS",1963,10950000
"576","AUS",1983,15369000
"577","AUS",2017,24601860
"578","AUS",1999,18926000
"579","AUS",2009,21691700
"580","AUS",1967,11799000
"581","AUT",1979,7549425
"582","AUT",2008,8321496
"583","AUT",1982,7574140
"584","AUT",1975,7578903
"585","AUT",2006,8268641
"586","AUT",1978,7562305
"587","AUT",2013,8479823
"588","AUT",2016,8736668
"589","AUT",1980,7549433
"590","AUT",1962,7129864
"591","AUT",1971,7500482
"592","AUT",2011,8391643
"593","AUT",1990,7677850
