"","Country Code","year","value"
"345","WLD","1962",1.724198259
"346","WSM","1962",3.222135766
"347","XKX","1962",2.857337244
"348","ZAF","1962",2.486399108
"349","ZMB","1962",2.998553521
"350","ZWE","1962",3.37804101
"351","ABW","1963",0.832452558
"352","AFG","1963",2.029893385
"353","AGO","1963",1.256554783
"354","ALB","1963",2.953748762
"355","ARE","1963",10.98013088
"356","ARG","1963",1.575288349
"357","ARM","1963",3.33039188
"358","ASM","1963",3.608865304
"359","ATG","1963",1.530111688
"360","AUS","1963",1.917816478
"361","AUT","1963",0.642362671
"362","AZE","1963",3.386881254
"363","BDI","1963",1.945172054
"364","BEL","1963",0.747606931
"365","BEN","1963",1.584057713
"366","BFA","1963",1.351522507
"367","BGD","1963",2.816682294
"368","BGR","1963",0.810378324
"369","BHR","1963",2.844613979
"370","BIH","1963",1.90080751
"371","BLR","1963",1.016188232
"372","BLZ","1963",2.814691655
"373","BMU","1963",2.360515021
"374","BOL","1963",1.983928509
"375","BRA","1963",2.908792685
"376","BRB","1963",0.427656288
"377","BTN","1963",2.512988051
"378","BWA","1963",2.247837132
"379","CAF","1963",1.753960296
"380","CAN","1963",1.862845928
"381","CHE","1963",2.137662821
"382","CHL","1963",2.02595968
"383","CHN","1963",2.457647404
"384","CMR","1963",2.187076753
"385","COL","1963",3.093646436
"386","COM","1963",1.596733876
"387","CRI","1963",3.645612022
"388","CUB","1963",2.251947244
"389","CYM","1963",0.989441896
"390","CYP","1963",0.038421467
"391","DEU","1963",0.925875063
"392","DJI","1963",6.596790543
"393","DMA","1963",1.498827098
"394","DNK","1963",0.787727453
"395","DOM","1963",3.271388882
"396","DZA","1963",2.490075487
"397","ECU","1963",2.865174906
"398","ERI","1963",2.63984734
"399","ESP","1963",0.877043252
"400","EST","1963",1.378477164
"401","ETH","1963",2.454581851
"402","FIN","1963",0.706977468
"403","FJI","1963",3.410287608
"404","FRA","1963",1.404835301
"405","GAB","1963",1.223302619
"406","GBR","1963",0.748366449
"407","GEO","1963",1.473021724
"408","GHA","1963",3.175101379
"409","GIB","1963",2.341475207
"410","GIN","1963",1.678433852
"411","GNB","1963",0.969709172
"412","GNQ","1963",1.431627631
"413","GRC","1963",0.370892005
"414","GRD","1963",0.999486526
"415","GRL","1963",3.922071315
"416","GTM","1963",2.922213077
"417","GUM","1963",2.387791775
"418","GUY","1963",2.651393047
"419","HND","1963",2.793049745
"420","HRV","1963",0.687764981
"421","HTI","1963",1.936310269
"422","HUN","1963",0.260182926
"423","IDN","1963",2.663060463
"424","IND","1963",2.056911684
"425","IRL","1963",0.583614784
"426","IRQ","1963",2.759169639
"427","ISL","1963",1.77978836
"428","ISR","1963",3.681922745
"429","ITA","1963",0.729553242
"430","JAM","1963",1.606471182
"431","JOR","1963",3.839139686
"432","JPN","1963",1.017429511
"433","KAZ","1963",3.569744942
"434","KEN","1963",3.203592757
"435","KHM","1963",2.541126077
"436","KIR","1963",2.412835754
"437","KWT","1963",11.57507572
"438","LBN","1963",3.053917636
"439","LBR","1963",2.133176776
"440","LBY","1963",3.5696181
"441","LKA","1963",2.342213327
"442","LSO","1963",1.928166788
"443","LTU","1963",1.235633443
"444","LUX","1963",1.039010665
"445","LVA","1963",1.335613098
"446","MAR","1963",2.886818547
"447","MDA","1963",2.080344373
"448","MDG","1963",2.469323687
"449","MDV","1963",2.74989269
"450","MEX","1963",3.103569873
"451","MKD","1963",1.323069973
"452","MLI","1963",1.113290733
"453","MLT","1963",-0.41766632
"454","MNE","1963",2.136174232
"455","MNG","1963",3.02490747
"456","MNP","1963",1.464879234
"457","MOZ","1963",2.267269165
"458","MRT","1963",2.955602427
"459","MUS","1963",2.608923274
"460","MWI","1963",2.441021704
"461","MYS","1963",3.186547533
"462","NAM","1963",2.453730004
"463","NCL","1963",2.720451624
"464","NER","1963",2.904598025
"465","NGA","1963",2.11049895
"466","NIC","1963",3.068275694
"467","NLD","1963",1.348491965
"468","NOR","1963",0.756123516
"469","NPL","1963",1.630209192
"470","NRU","1963",6.480395921
"471","NZL","1963",1.986582544
"472","OMN","1963",2.504722235
"473","PAK","1963",2.486728214
"474","PAN","1963",2.98546998
"475","PER","1963",2.868685215
"476","PHL","1963",3.276827037
"477","PNG","1963",1.929434599
"478","POL","1963",1.322525647
"479","PRI","1963",2.188164769
"480","PRT","1963",0.403565949
"481","PRY","1963",2.639390059
"482","PYF","1963",3.744675127
"483","QAT","1963",9.252386492
"484","ROU","1963",0.647377536
"485","RWA","1963",1.704489937
"486","SAU","1963",3.463382
"487","SDN","1963",3.011265593
"488","SEN","1963",2.762017386
"489","SGP","1963",2.527495482
"490","SLB","1963",2.99221151
"491","SLE","1963",1.581883404
"492","SLV","1963",2.959067849
"493","SOM","1963",2.142992625
"494","SSD","1963",1.94697351
"495","STP","1963",-0.38536292
"496","SUR","1963",2.614793383
"497","SVN","1963",0.827298842
"498","SWE","1963",0.563633784
"499","SWZ","1963",2.017460516
"500","SYC","1963",2.542224829
"501","TCA","1963",-0.23821689
"502","TCD","1963",1.977475962
"503","TGO","1963",1.171774152
"504","THA","1963",3.000936326
"505","TJK","1963",3.586649722
"506","TKM","1963",3.350306367
"507","TON","1963",4.062208022
"508","TTO","1963",1.411687198
"509","TUN","1963",1.71753872
"510","TUR","1963",2.393835444
"511","TZA","1963",2.925562056
"512","UGA","1963",3.350191323
"513","UKR","1963",1.218490529
"514","URY","1963",1.192759027
"515","USA","1963",1.439164762
"516","UZB","1963",3.401007931
"517","VGB","1963",1.977903154
"518","VNM","1963",2.948343783
"519","VUT","1963",3.124982032
"520","WLD","1963",2.083131232
"521","WSM","1963",3.215268361
"522","XKX","1963",2.777956411
"523","ZAF","1963",2.514284705
"524","ZMB","1963",3.004536387
"525","ZWE","1963",3.395951526
"526","ABW","1964",0.592649039
"527","AFG","1964",2.090247673
"528","AGO","1964",0.97396171
"529","ALB","1964",2.880686426
"530","ARE","1964",9.818305705
"531","ARG","1964",1.549267427
"532","ARM","1964",3.193722641
"533","ASM","1964",3.653944181
"534","ATG","1964",1.642463656
