"","Country Code","year","value"
"533","PRY","1965",443587301.587302
"534","PYF","1965",176534589.603389
"535","RWA","1965",148799980
"536","SDN","1965",1679333333.33333
"537","SEN","1965",1210058396.0603
"538","SGP","1965",974650463.870378
"539","SLE","1965",359379856.248057
"540","SLV","1965",877720000
"541","SOM","1965",243724533.172801
"542","SUR","1965",154150000
"543","SWE","1965",24795499685.775
"544","SWZ","1965",70278594.4281114
"545","SYC","1965",15603032.7955465
"546","TCD","1965",416926302.963509
"547","TGO","1965",187300336.365369
"548","THA","1965",4388937649.03846
"549","TTO","1965",736568861.926151
"550","TUN","1965",991047619.047619
"551","TUR","1965",11966666666.6667
"552","UGA","1965",884873949.579832
"553","URY","1965",1890769326.14221
"554","USA","1965",7.437e+11
"555","WLD","1965",1966277080224.85
"556","ZAF","1965",11334395470.7756
"557","ZMB","1965",1082857142.85714
"558","ZWE","1965",1311435800
"559","AFG","1966",1399999966.66667
"560","ARG","1966",28630474727.9023
"561","AUS","1966",27268451114.3465
"562","AUT","1966",10887682273.1014
"563","BDI","1966",165444571.428571
"564","BEL","1966",18651883472.4808
"565","BEN","1966",302925280.773564
"566","BFA","1966",433889831.584706
"567","BGD","1966",6439687598.32325
"568","BLZ","1966",44405594.4055944
"569","BMU","1966",134173373.782802
"570","BOL","1966",669191919.191919
"571","BRA","1966",27062716577.9111
"572","BWA","1966",51464435.1464435
"573","CAF","1966",157930041.875883
"574","CAN","1966",61088384036.6515
"575","CHE","1966",16480058704.8531
"576","CHL","1966",7072641025.64103
"577","CHN","1966",76720285969.6157
"578","CMR","1966",853268771.097081
"579","COL","1966",5428518518.51852
"580","CRI","1966",647305630.188679
"581","DNK","1966",11931739858.7046
"582","DOM","1966",983900000
"583","DZA","1966",3039834558.74906
"584","ECU","1966",2429309513.80854
"585","ESP","1966",28721062242.1634
"586","FIN","1966",9208524504.87684
"587","FJI","1966",150603925.515853
"588","FRA","1966",110045852177.928
"589","GAB","1966",245849781.715943
"590","GBR","1966",108572752102.045
"591","GHA","1966",2126300573.17668
"592","GNQ","1966",69110000
"593","GRC","1966",8591517943.60129
"594","GTM","1966",1390700000
"595","GUY","1966",228705882.352941
"596","HND","1966",549950000
"597","HTI","1966",368948600
"598","IND","1966",45865462033.91
"599","IRL","1966",3104034393.23162
"600","ISL","1966",628893310.399926
"601","ISR","1966",3.98e+09
"602","ITA","1966",73654870011.2757
"603","JAM","1966",1096738065.2387
"604","JOR","1966",658078969.476337
"605","JPN","1966",105628070343.111
"606","KEN","1966",1164519673.19763
"607","KHM","1966",914285714.285714
"608","KWT","1966",2391486978.43741
"609","LKA","1966",1751470588.23529
"610","LSO","1966",56698866.0226795
"611","LUX","1966",968440149.470951
"612","MAR","1966",2876395613.08171
"613","MDG","1966",900264583.688205
"614","MEX","1966",2.432e+10
"615","MRT","1966",266533659.162216
"616","MWI","1966",260394792.104158
"617","MYS","1966",3143538481.64119
"618","NCL","1966",164206537.561675
"619","NER","1966",702296184.361344
"620","NGA","1966",6366792664.14672
"621","NIC","1966",606671444
"622","NLD","1966",22867203317.4022
"623","NOR","1966",8696460205.3397
"624","NPL","1966",906811943.824649
"625","NZL","1966",5863733230.97616
"626","OMN","1966",67768132.1758611
"627","PAK","1966",6561108777.82444
"628","PAN","1966",928833000
"629","PER","1966",6113607728.15672
"630","PHL","1966",6371459304.41018
"631","PNG","1966",390973233.284802
"632","PRI","1966",3170500000
"633","PRT","1966",5135387845.97108
"634","PRY","1966",465888888.888889
"635","PYF","1966",215659455.017302
"636","RWA","1966",124525702.857143
"637","SDN","1966",1.723e+09
"638","SEN","1966",1246908373.74285
"639","SGP","1966",1096432771.46217
"640","SLE","1966",375479849.80806
"641","SLV","1966",929520000
"642","SOM","1966",257374455.753265
"643","SUR","1966",190350000
"644","SWE","1966",26971486546.2848
"645","SWZ","1966",76858462.8307434
"646","SYC","1966",16443034.5611211
"647","TCD","1966",432794922.459835
"648","TGO","1966",216136263.912497
"649","THA","1966",5279230817.30769
"650","TTO","1966",723735635.536371
"651","TUN","1966",1040952380.95238
"652","TUR","1966",1.41e+10
"653","UGA","1966",925770308.123249
"654","URY","1966",1809183974.52669
"655","USA","1966",8.15e+11
"656","WLD","1966",2133345298195.83
"657","ZAF","1966",12354995062.944
"658","ZMB","1966",1264285714.28571
"659","ZWE","1966",1281749500
"660","AFG","1967",1673333417.77778
"661","ARG","1967",24256667553.2569
"662","AUS","1967",30397580916.116
"663","AUT","1967",11579431668.9165
"664","BDI","1967",178297142.857143
"665","BEL","1967",19992040788.4593
"666","BEN","1967",306222000.407316
"667","BFA","1967",450753993.176448
"668","BGD","1967",7253575399.3215
"669","BLZ","1967",47379310.3448276
"670","BMU","1967",155102984.621576
"671","BOL","1967",755808080.808081
"672","BRA","1967",30591834053.9653
"673","BWA","1967",58646443.5146444
"674","CAF","1967",163820538.867947
"675","CAN","1967",65668655501.1254
"676","CHE","1967",17740013179.26
"677","CHL","1967",7013196078.43137
"678","CHN","1967",72881631326.6715
"679","CMR","1967",934079050.346173
"680","COL","1967",5825170438.48704
"681","CRI","1967",699456618.867925
"682","DNK","1967",13059064374.6287
"683","DOM","1967",1034800000
"684","DZA","1967",3370843065.76735
"685","ECU","1967",2553596091.82258
"686","ESP","1967",31647119228.1982
"687","FIN","1967",9368954010.3132
"688","FJI","1967",162625885.863484
"689","FRA","1967",118972977486.207
"690","GAB","1967",271543680.279265
"691","GBR","1967",113116888210.787
"692","GHA","1967",1747187539.20717
"693","GNQ","1967",72317446.9327193
"694","GRC","1967",9275600800.35644
"695","GTM","1967",1453500000
"696","GUY","1967",250176470.588235
"697","HND","1967",598100000
"698","HTI","1967",369124200
"699","IDN","1967",5667756644.83099
"700","IND","1967",50134942203.4467
"701","IRL","1967",3343636773.36759
"702","ISL","1967",621225962.154708
"703","ISR","1967",4.03e+09
"704","ITA","1967",81133120065.4202
"705","JAM","1967",1148025407.34604
"706","JOR","1967",631755810.697284
"707","JPN","1967",123781880217.6
"708","KEN","1967",1232559505.92359
"709","KHM","1967",962857134.285714
"710","KWT","1967",2441893027.16326
"711","LKA","1967",1859465020.57613
"712","LSO","1967",59260814.7837043
"713","LUX","1967",974721762.535327
"714","MAR","1967",3046339294.53611
"715","MDG","1967",956436931.142347
"716","MEX","1967",2.656e+10
"717","MLI","1967",275494520.141999
"718","MRT","1967",282615367.46488
"719","MWI","1967",269814968.240817
"720","MYS","1967",3188945511.56409
"721","NCL","1967",180036768.87301
"722","NER","1967",665586975.088302
"723","NGA","1967",5203135937.28125
"724","NIC","1967",657171436.714286
"725","NLD","1967",25087562181.3218
"726","NOR","1967",9514496703.39762
"727","NPL","1967",841974025.462659
"728","NZL","1967",5961418093.53003
"729","OMN","1967",107152720.243027
"730","PAK","1967",7464510709.7858
"731","PAN","1967",1034376400
"732","PER","1967",6204253758.57616
"733","PHL","1967",6809134235.54298
"734","PNG","1967",441706910.068317
"735","PRI","1967",3532700000
"736","PRT","1967",5740241165.63433
"737","PRY","1967",492674603.174603
"738","PYF","1967",220984369.12915
"739","RWA","1967",159560018
"740","SDN","1967",1865666666.66667
"741","SEN","1967",1246480958.51385
"742","SGP","1967",1238043904.35123
"743","SLB","1967",25203524.0325638
"744","SLE","1967",348795303.000385
"745","SLV","1967",976200000
"746","SOM","1967",271780364.837811
"747","SUR","1967",220700000
"748","SWE","1967",29275995674.6888
"749","SWZ","1967",74758504.8299034
"750","SYC","1967",16632032.8140183
"751","TCD","1967",449826322.995072
"752","TGO","1967",231706475.464114
"753","THA","1967",5638461442.30769
"754","TTO","1967",761981474.023359
"755","TUN","1967",1085714285.71429
"756","TUR","1967",15644444444.4444
"757","UGA","1967",967647058.823529
"758","URY","1967",1597721080.00991
"759","USA","1967",8.617e+11
"760","WLD","1967",2270951628945.99
"761","ZAF","1967",13777394494.5532
"762","ZMB","1967",1.368e+09
"763","ZWE","1967",1397002000
"764","AFG","1968",1373333366.66667
"765","ARG","1968",26436857247.4982
